EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,Timestamp,Response
90.48126957798377,149.2182683320716,113.63499020365998,131.51358194183558,1700259629.14071,
-97.55342039419338,-46.75622924603522,-84.05238155415282,-41.673705206252635,1700259629.1543047,
-58.811796753201634,-50.481169601902366,-66.87128115771338,1.5857175812125206,1700259629.1543047,
107.68480937415734,153.145163285546,122.01610600436106,152.84223138913512,1700259629.170087,
-36.39857631875202,26.714105383493006,-12.201423605438322,14.372435529716313,1700259629.170087,
-120.1124969269149,-89.17791444342583,-121.039992115926,-50.18197760544717,1700259629.1708124,
72.43999219173566,104.14873396605253,73.33756818110123,121.39715256169438,1700259629.1708124,
42.54697184590623,106.45251233875751,58.08999606175348,81.86641003005207,1700259629.2004845,
-130.4159213048406,-86.0064792810008,-129.5220852154307,-68.78423998504877,1700259629.2004845,
14.007795284036547,30.005217344500124,7.111419765744358,63.98968824185431,1700259629.20123,
99.30743347341195,154.12875697389245,111.30877243122086,132.92352422513068,1700259629.20123,
-103.78409372037277,-43.9475643793121,-85.53712183656171,-47.15265864133835,1700259629.2153018,
-61.77005761815235,-50.537268101237714,-71.08614840777591,-0.8414774900302291,1700259629.2153018,
110.21298174420372,155.9650478521362,118.6688955440186,156.67936874367297,1700259629.215818,
-37.75989990262315,22.86948822904378,-16.461169654969126,13.904948035255075,1700259629.215818,
-114.89159658877179,-92.75325880106539,-111.6266639274545,-46.80484794545919,1700259629.2300425,
69.78840312315151,98.10505563765764,76.56136194290593,125.75787591002882,1700259629.2300425,
39.21472098538652,101.62430149596184,64.52262398554012,83.38480941206217,1700259629.2310355,
-139.384201398585,-95.52078476827592,-127.71945343678817,-67.14616380445659,1700259629.2310355,
15.716929563786834,25.476198498159647,9.927564432378858,71.72754125017673,1700259629.2446733,
98.35749888466671,150.49357421696186,113.70604830281809,136.50260848272592,1700259629.2446733,
-92.56813375325873,-43.644632482901216,-82.50780287245288,-40.884586315602064,1700259629.2764356,
-59.107248849701136,-43.93634467944503,-62.54047700902447,0.49366679415106773,1700259629.2764356,
113.01416681101546,154.43542877025902,120.24713332531974,158.42590202298015,1700259629.2773793,
-40.51246627001092,29.305856052786112,-11.89475180907175,16.975405898876488,1700259629.2773793,
-108.28319336706772,-87.76423226017505,-110.26908024353907,-50.20067710522562,1700259629.2780943,
76.97649083798751,100.88754120469093,78.32285482203588,119.00361659005284,1700259629.2780943,
43.64650243287906,108.47953811474144,62.196406213101,78.00309337582439,1700259629.278849,
-132.16619448410347,-89.32003064174205,-130.374782405328,-79.93288175296038,1700259629.278849,
17.14931124681607,33.69649860076606,9.310480939690024,61.12492487579584,1700259629.2893367,
99.59914566995576,149.9587685232982,110.15688324486837,122.48546344880015,1700259629.2893367,
-96.34917260846123,-36.060115372762084,-83.61107335938141,-53.00934197194874,1700259629.3043687,
-58.05633696215227,-41.628826406784356,-70.40548661584035,-14.372435529716313,1700259629.3043687,
116.84382436564192,161.8142513828352,120.62860312080011,139.2102960506454,1700259629.3200383,
-35.97596762375906,31.80036932323128,-21.341739097144455,1.6455559805035591,1700259629.3200383,
-109.88013064814731,-86.75071937218308,-118.16774894995615,-57.84877251461148,1700259629.3208115,
73.26277018198743,101.64674089569598,73.48342427937314,118.67824529390782,1700259629.3208115,
40.06367827532813,105.36046155169606,57.76836466556415,80.23955354932696,1700259629.3343375,
-122.3751364001073,-87.23316646646708,-134.60834915516898,-82.21796062588692,1700259629.3343375,
24.924563254695386,33.9059329982847,8.67095804726705,57.23916882183403,1700259629.3500197,
100.18257006304339,154.83933796547353,112.24000752018765,126.55447460059077,1700259629.3500197,
-86.59551352402195,-41.55776830762625,-87.51178901316598,-52.25762208085507,1700259629.350799,
-46.04751820443198,-42.96023079100996,-69.7921430231072,-11.616129262372851,1700259629.350799,
115.79291247809306,155.183408761397,116.7765061664395,147.94296244718134,1700259629.3643548,
-29.045933005865663,27.37606767565012,-20.167410511057824,7.808911107480526,1700259629.3643548,
-107.71472857380286,-90.23630613088608,-120.61738342093304,-58.110565511509776,1700259629.3967621,
81.5017697843723,102.76123108249158,73.7190379765816,112.3877335684374,1700259629.3967621,
54.765225001145154,108.97320490889251,59.600915643852204,67.06014610547572,1700259629.3972628,
-121.43268161127344,-88.92360124643892,-131.57903019106016,-83.7064408082515,1700259629.3972628,
27.50509422412142,32.56330891419202,7.070280866231769,54.20237005781382,1700259629.3979259,
102.80050003202632,154.64860306773335,115.05989208677784,128.36832607910037,1700259629.3979259,
-91.7677951627411,-46.27752205170691,-82.9491110672243,-46.64777214732021,1700259629.3990707,
-47.24802609020844,-49.46017691399902,-61.9009541166015,-4.626256245188415,1700259629.3990707,
125.34087706496939,156.65692934393883,121.25316641340032,145.07445918116719,1700259629.4094677,
-29.64431699877605,28.752350859344006,-18.877145026344806,0.7180607914924622,1700259629.4094677,
-106.6226777867414,-92.5999229028821,-117.80497865425423,-58.74634850397706,1700259629.4244165,
81.37835308583453,101.4560059979558,70.91037310985848,106.77040383499116,1700259629.4244165,
54.58196990331635,107.36878782790154,58.6771603547968,67.0339668057859,1700259629.4400687,
-118.49686014605686,-92.97391289845109,-128.80402442393824,-85.29215838946402,1700259629.4400687,
32.47168136527762,34.13032699562609,8.536321648862213,57.48600221890956,1700259629.4408097,
107.28464007889852,150.86382431257516,112.7748132138513,119.96103097870946,1700259629.4408097,
-88.37944580288604,-42.60494029521942,-84.19823765242472,-56.00874173641205,1700259629.454375,
-43.69886103225872,-44.23927657585591,-67.12185445474461,-16.51539820432663,1700259629.454375,
125.22120026638731,151.61180430371314,119.86566352983937,133.76126181520522,1700259629.4700344,
-26.480361636262387,26.99833778012544,-21.10612539993599,-6.230673326179385,1700259629.4700344,
-97.00739500066265,-88.99091944564134,-121.35414371220395,-64.13180444017053,1700259629.4708192,
92.67659085197374,100.61452850792557,74.64279326563701,110.15875319484621,1700259629.4708192,
54.93726039910689,96.14160816092044,58.08625616179779,63.032273853197694,1700259629.5007236,
-114.73452079063281,-94.87378207594156,-132.3756288816221,-85.38191598840058,1700259629.5007236,
33.7021084506996,27.286310076713562,7.709803758654743,48.78699492197484,1700259629.5016987,
105.0668794051744,151.70904170256108,108.01018067030236,117.21968431118876,1700259629.5016987,
-79.74401680519804,-45.07701416593045,-89.6547516877763,-58.970742501318455,1700259629.5021863,
-34.40894954232499,-46.041908354498446,-69.94547892129049,-16.261085007339716,1700259629.5021863,
127.29684474179521,148.95273543521762,118.76239304291084,135.66861079260707,1700259629.5143898,
-19.55032701836899,24.54122350923717,-20.806933403480798,-3.904455553740263,1700259629.5143898,
-93.05058084754273,-88.16440155543387,-118.57539804512635,-68.2905731908977,1700259629.5300374,
90.25687558064237,104.73963815905154,72.07722189603373,103.41571357473731,1700259629.5300374,
58.759438153821975,103.55782977305353,56.1190687851049,65.38093102537096,1700259629.5310194,
-112.48684091726318,-85.8531433828175,-130.5954365027137,-90.54297792725265,1700259629.5310194,
36.37987681897357,35.4617313798517,7.399392062332481,50.129619006067514,1700259629.5446608,
106.1776296920143,151.48838760517538,107.42675627721474,112.35781436879188,1700259629.5446608,
-80.36110029788688,-41.703624405898154,-85.27532883966342,-64.12058474030346,1700259629.5601823,
-34.554805640596896,-39.45968443248421,-66.81144275842234,-22.91436702851206,1700259629.5601823,
128.71800672495738,157.53954573348165,121.87772970600054,130.81422065012157,1700259629.5610063,
-22.602085382211953,31.534836426377296,-17.680377040524036,-7.472320111468434,1700259629.5610063,
-91.29656776832417,-83.94953430537134,-117.40480935899541,-68.27561359107494,1700259629.574366,
101.14746425161138,114.22028454672545,73.29268938163295,101.74023839458823,1700259629.574366,
56.97924577491358,110.9441321855411,57.540230768267065,60.23482868634164,1700259629.590737,
-117.8909963532351,-90.34850312955678,-130.748772400897,-91.72852621320635,1700259629.590737,
34.28553284378722,34.68757208902389,8.27078875200823,50.60832620039582,1700259629.5914707,
118.05555195128545,150.2243014201522,107.9241629713215,113.50970355514437,1700259629.5914707,
-79.25408991100267,-43.41275868564844,-87.30235461564735,-58.64911110512912,1700259629.6212528,
-34.54732584068552,-43.670811782591045,-67.69031924800947,-16.0815698094666,1700259629.6212528,
132.38310868153349,154.47282776981592,117.05699866311625,132.71782972756773,1700259629.6213644,
